Sort Code,person_age,person_income,person_home_ownership,person_emp_length,home_ownership,mortgage_debt,rent,li_debt_consolidation,li_education,li_home_improvement,li_medical,li_personal,li_venture,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
16,23,500000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,30000,10.65,0,0.06,0,3
116,24,12960,MORTGAGE,0,0,1,0,1,0,0,0,0,0,B,4500,11.83,1,0.35,0,4
138,23,216000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,21000,8.9,0,0.1,0,3
176,21,200000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,C,25000,13.99,0,0.13,0,2
179,25,200000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,15500,11.99,0,0.08,0,2
183,22,200000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,9000,6.17,0,0.04,0,4
188,24,200000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,B,20000,,0,0.1,0,3
257,23,14664,MORTGAGE,0,0,1,0,1,0,0,0,0,0,C,6000,,1,0.41,0,4
300,25,174000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,C,8800,14.27,0,0.05,0,3
380,24,16800,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,3900,,1,0.23,0,3
393,26,160000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,C,13750,,0,0.09,0,4
470,24,18000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,B,10000,12.18,1,0.56,0,2
518,21,19012,MORTGAGE,0,0,1,0,1,0,0,0,0,0,D,3500,14.61,1,0.18,0,3
568,21,19253,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,6250,6.17,1,0.32,0,3
666,24,20400,MORTGAGE,5,0,1,0,1,0,0,0,0,0,B,5500,10.99,0,0.27,0,4
712,22,21000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,B,3000,11.49,0,0.14,0,3
750,21,21600,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,3800,5.99,0,0.18,0,2
769,24,21600,MORTGAGE,0,0,1,0,1,0,0,0,0,0,D,2000,14.84,1,0.09,0,2
778,21,21600,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,10000,11.14,0,0.46,0,2
797,26,22000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,B,3825,10.65,0,0.17,0,4
805,23,22000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,1550,7.49,1,0.07,0,2
856,22,23000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,10625,7.51,0,0.46,0,4
863,22,23000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,4800,10,0,0.21,0,4
867,21,23000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,C,3000,13.35,0,0.13,0,3
906,24,23500,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,7000,10.38,0,0.3,0,3
951,25,24000,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,5800,5.99,0,0.24,0,3
970,22,24000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,5000,10.99,0,0.21,0,4
1045,23,24000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,D,2800,16.07,1,0.12,0,3
1239,24,25000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,7000,9.32,0,0.28,0,2
1245,24,25000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,10000,8,0,0.4,0,2
1289,23,25500,MORTGAGE,2,0,1,0,1,0,0,0,0,0,C,7850,13.49,0,0.31,0,4
1322,23,26000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,B,7800,10.59,0,0.3,0,4
1378,24,26400,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,6000,8.9,0,0.23,0,4
1415,22,26400,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,4400,11.49,0,0.17,0,4
1463,26,27000,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,3000,5.79,0,0.11,0,3
1491,22,27000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,5000,12.18,0,0.19,0,4
1495,24,27000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,B,7500,10.39,0,0.28,0,2
1510,26,27138,MORTGAGE,10,0,1,0,1,0,0,0,0,0,B,2750,9.63,0,0.1,0,2
1520,24,27442,MORTGAGE,8,0,1,0,1,0,0,0,0,0,B,5175,10.99,0,0.19,0,4
1536,22,27600,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,8400,7.51,0,0.3,0,3
1564,26,27983,MORTGAGE,7,0,1,0,1,0,0,0,0,0,A,6000,7.88,0,0.21,0,3
1594,23,28000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,D,9500,15.62,1,0.34,0,2
1631,22,28000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,B,10750,11.14,0,0.38,0,2
1666,22,28500,MORTGAGE,1,0,1,0,1,0,0,0,0,0,A,8500,7.68,0,0.3,0,4
1696,24,28800,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,6075,8.49,0,0.21,0,2
1706,21,28800,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,5000,7.49,0,0.17,0,3
1718,23,28800,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,8400,9.63,0,0.29,0,3
1755,23,29000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,11500,7.9,0,0.4,0,4
1807,25,29328,MORTGAGE,9,0,1,0,1,0,0,0,0,0,A,10000,7.74,0,0.34,0,3
1836,25,30000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,C,6500,14.27,0,0.22,0,3
1890,23,30000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,A,1000,6.62,1,0.03,0,3
1892,23,30000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,1400,6.03,0,0.05,0,4
1899,24,30000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,B,17000,11.99,1,0.57,0,3
1960,23,30000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,3800,5.79,0,0.13,0,3
1999,24,30000,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,3075,,0,0.1,0,4
2021,23,30000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,C,1000,13.72,0,0.03,0,4
