Sort Code,person_age,person_income,person_emp_length,home_ownership,mortgage_debt,rent,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
3,25,9600,1,0,1,0,MEDICAL,C,5500,12.87,1,0.57,0,3
16,23,500000,7,0,1,0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,0,3
20,24,10800,8,0,1,0,EDUCATION,B,1750,10.99,1,0.16,0,2
35,26,300000,10,0,1,0,MEDICAL,C,7800,13.49,0,0.03,0,4
43,26,300000,10,0,1,0,VENTURE,A,20000,7.88,0,0.07,0,4
46,26,300000,0,0,1,0,EDUCATION,D,25000,15.33,0,0.08,0,3
47,25,300000,9,0,1,0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,0,3
63,26,263000,0,0,1,0,EDUCATION,B,10000,,1,0.04,0,4
64,25,221850,9,0,1,0,MEDICAL,D,25000,15.7,1,0.1,0,2
69,24,255000,9,0,1,0,EDUCATION,A,9600,6.99,0,0.04,0,2
101,26,234000,10,0,1,0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,0,3
104,25,230000,5,0,1,0,MEDICAL,C,35000,13.99,0,0.15,0,4
106,22,12600,,0,1,0,PERSONAL,A,2000,5.42,1,0.16,0,4
111,24,12960,1,0,1,0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,0,3
112,26,226000,4,0,1,0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,0,4
114,26,213000,6,0,1,0,EDUCATION,B,35000,10.65,1,0.16,0,2
116,24,12960,0,0,1,0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,0,4
124,25,225000,0,0,1,0,VENTURE,F,25000,18.67,0,0.11,0,2
127,26,225000,2,0,1,0,VENTURE,B,25000,10.08,0,0.11,0,2
137,24,220000,1,0,1,0,EDUCATION,B,25000,11.58,0,0.11,0,2
138,23,216000,5,0,1,0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,0,3
139,25,216000,2,0,1,0,EDUCATION,D,25000,16.07,0,0.12,0,3
142,26,215000,11,0,1,0,EDUCATION,A,12000,7.88,0,0.06,0,2
148,23,13200,2,0,1,0,EDUCATION,B,1400,9.25,0,0.11,0,4
150,22,210000,6,0,1,0,VENTURE,B,16000,10.62,0,0.08,0,4
167,24,200000,8,0,1,0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,0,2
168,21,200000,5,0,1,0,EDUCATION,C,16000,14.65,0,0.08,0,4
175,23,200000,7,0,1,0,EDUCATION,A,28000,,0,0.14,0,2
176,21,200000,2,0,1,0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,0,2
177,24,200000,3,0,1,0,VENTURE,A,24000,7.49,0,0.12,0,4
178,26,200000,4,0,1,0,EDUCATION,C,15000,14.79,0,0.07,0,3
179,25,200000,2,0,1,0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,0,2
183,22,200000,6,0,1,0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,0,4
184,144,200000,4,0,1,0,EDUCATION,B,6000,11.86,0,0.03,0,2
186,25,200000,2,0,1,0,VENTURE,B,12000,10.38,0,0.06,0,2
187,25,200000,9,0,1,0,PERSONAL,C,23050,14.35,0,0.12,0,3
188,24,200000,8,0,1,0,DEBTCONSOLIDATION,B,20000,,0,0.1,0,3
196,25,200000,0,0,1,0,EDUCATION,B,12000,11.48,0,0.06,0,3
197,26,188000,10,0,1,0,VENTURE,E,20000,17.74,1,0.11,0,2
198,26,200000,4,0,1,0,PERSONAL,C,3000,13.92,0,0.01,0,3
211,21,192000,123,0,1,0,VENTURE,A,20000,6.54,0,0.1,0,4
212,25,191000,1,0,1,0,MEDICAL,B,10000,12.53,0,0.05,0,4
213,26,190300,5,0,1,0,PERSONAL,A,15000,,0,0.08,0,3
214,22,190000,3,0,1,0,VENTURE,C,10000,,0,0.05,0,3
217,26,190000,3,0,1,0,VENTURE,B,20000,12.18,0,0.11,0,4
223,24,185000,,0,1,0,EDUCATION,B,35000,12.42,0,0.19,0,2
